,W/L
1,1
2,1
3,0
4,0
5,0
6,0
7,1
8,1
9,0
10,1
11,1
12,1
13,0
14,1
15,1
16,1
17,1
18,0
19,0
20,0
21,0
22,1
23,0
24,0
25,0
26,0
27,0
28,0
29,1
30,0
31,1
32,0
33,1
34,0
35,1
36,0
37,0
38,1
39,0
40,0
41,0
42,0
43,1
44,0
45,0
46,1
47,1
48,0
49,1
50,0
51,1
52,1
53,0
54,1
55,1
56,0
57,1
58,0
59,1
60,0
61,0
62,1
63,0
64,0
65,1
66,0
67,0
68,0
69,1
70,1
71,1
72,1
73,1
74,0
75,0
76,1
77,1
78,1
79,0
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,0
95,0
96,0
97,1
98,1
99,1
100,0
101,0
102,1
103,0
104,0
105,1
106,1
107,0
108,1
109,0
110,1
111,0
112,1
113,1
114,1
115,0
116,0
117,1
118,1
119,1
120,1
121,0
122,0
123,1
124,0
125,1
126,1
127,0
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,0
136,1
137,0
138,0
139,1
140,1
141,0
142,1
143,0
144,0
145,0
146,1
147,0
148,0
149,1
150,0
151,1
152,0
153,0
154,1
155,1
156,1
157,1
158,0
159,0
160,1
161,1
162,1
